url,domain,tweet_count,retweet_count_metadata,quote_count_metadata,tweet_count_by_community_0,retweet_count_by_community_0,quote_count_by_community_0,tweet_count_by_community_1,retweet_count_by_community_1,quote_count_by_community_1,tweet_count_by_community_2,retweet_count_by_community_2,quote_count_by_community_2,tweet_count_by_community_3,retweet_count_by_community_3,quote_count_by_community_3,tweet_count_by_community_4,retweet_count_by_community_4,quote_count_by_community_4,tweet_count_by_suspended_users,retweet_count_by_suspended_users,quote_count_by_suspended_users
https://www.foxnews.com/opinion/tucker-carlson-2020-presidential-election-voter-fraud-dead-voters.amp,foxnews.com,264,41078,6543,14,61,401,27,3250,264,93,7790,966,4,345,39,8,483,34,62,2555,305
https://www.legislationline.org/download/id/1472/file/3b50795b2d0374cbef5c29766256.pdf,legislationline.org,148,19221,1973,0,24,92,30,2021,161,73,5628,509,0,25,2,0,119,8,26,1793,139
https://www.houstonchronicle.com/politics/texas/article/Texas-Lt-Gov-Dan-Patrick-offers-1-million-15716973.php?utm_campaign=CMS%20Sharing%20Tools%20(Premium)&utm_source=t.co&utm_medium=referral,houstonchronicle.com,56,16627,2602,13,103,272,8,1037,77,24,3931,345,3,74,15,0,67,4,3,1425,106
https://nypost.com/2020/11/11/usps-whistleblower-denies-wapo-claim-he-recanted-allegations/?utm_source=twitter_sitebuttons&utm_medium=site%20buttons&utm_campaign=site%20buttons,nypost.com,85,15297,983,3,13,23,11,648,36,51,3339,224,0,35,1,0,41,1,12,1124,69
https://thetexan.news/limestone-county-individual-charged-with-134-counts-of-voter-fraud-attorney-general-announces/,thetexan.news,280,14525,1459,2,13,21,41,1368,109,141,4433,419,0,17,3,1,102,6,30,1385,138
https://www.zerohedge.com/political/30-states-computer-system-known-be-defective-tallying-votes,zerohedge.com,16,13906,1689,0,7,1,2,487,80,12,3722,526,0,13,2,0,19,3,3,1363,198
https://www.nytimes.com/2012/10/07/us/politics/as-more-vote-by-mail-faulty-ballots-could-impact-elections.html,nytimes.com,105,12193,834,1,24,14,24,1205,92,48,6641,464,2,66,8,0,87,3,13,2562,143
https://www.youtube.com/watch?v=psGpIuNh_dU,youtube.com,8,11827,1288,0,5,4,3,544,146,3,8508,1109,0,39,5,0,50,5,2,3505,398
https://apnews.com/article/election-2020-joe-biden-donald-trump-elections-c809d17b5cd34048e1a5e9bbb4b73cb7,apnews.com,1,11313,1504,0,4,5,1,304,67,0,2706,415,0,6,1,0,8,0,1,1086,151
https://noqreport.com/2020/11/04/90-voter-turnout-in-wisconsin-is-impossible-without-voter-fraud-as-seven-milwaukee-districts-report-higher-than-100/,noqreport.com,257,11036,1329,0,17,3,31,437,54,176,3345,427,4,5,4,2,13,3,42,746,111
https://trulytimes.com/election-supervisor-shows-on-video-how-dominion-software-allows-changing-adding-votes.html?amp=1,trulytimes.com,8,9658,683,0,4,2,1,676,85,4,6167,473,0,67,4,0,40,1,1,2677,168
http://www.gand.uscourts.gov/news/notice-audio-streaming-court-proceeding-pearson-et-al-v-kemp-et-al,gand.uscourts.gov,27,8658,615,0,2,2,2,410,72,24,5829,467,1,79,7,0,45,1,14,2690,143
https://www.theepochtimes.com/pennsylvania-house-leaders-file-brief-to-support-texas-in-supreme-court-lawsuit-against-pennsylvania_3613557.html,theepochtimes.com,2,8275,575,0,3,4,1,353,53,0,5459,423,0,66,5,0,46,2,2,2507,154
https://givesendgo.com/bebrave,givesendgo.com,8,7953,540,0,8,0,4,282,2,3,4019,9,0,17,0,0,18,0,2,1384,2
https://www.projectveritas.com/news/project-veritas-offers-usd25k-reward-for-tips-related-to-election-voter-and/,projectveritas.com,5,7899,586,0,4,1,1,243,13,3,1734,158,0,8,3,0,9,0,3,496,42
https://www.thegatewaypundit.com/2020/11/michigan-judge-tossed-pro-trump-voter-fraud-suit-caught-releasing-child-molesters/?utm_source=Twitter&utm_campaign=websitesharingbuttons,thegatewaypundit.com,249,7721,1044,0,4,1,12,172,45,217,5686,856,1,8,0,0,11,1,84,2020,300
https://www.pscp.tv/w/coQQgTU5MDExMHwxQlJKakJiRGxydkp3zxgdZFMyyQfbE1RXFE-C5BntfjB8xbuPuTze6eKg9gs=,pscp.tv,1,7713,820,0,9,12,1,485,67,0,4421,527,0,12,2,0,23,3,0,1442,130
https://www.theblaze.com/news/texas-lt-gov-patrick-reward-voter-fraud,theblaze.com,83,7264,875,1,24,117,15,316,29,45,1924,183,0,11,1,0,30,1,9,677,44
https://davidharrisjr.com/steven/texas-charges-social-worker-with-134-felony-counts-involving-election-fraud/,davidharrisjr.com,108,7137,874,0,6,3,16,474,57,66,2727,330,0,7,1,2,12,1,22,808,81
https://justthenews.com/politics-policy/elections/lawsuit-filed-michigan-alleges-election-fraud-including-backdating,justthenews.com,34,6986,333,0,3,0,6,124,16,26,1448,88,1,2,0,0,6,0,4,590,28
https://columbusfreepress.com/article/scytl-has-all-tools-it-needs-election-fraud,columbusfreepress.com,158,6397,439,0,3,1,14,185,28,123,4115,320,1,4,4,2,16,1,47,1773,139
https://www.foxnews.com/politics/californians-georgia-help-democrats-senate-races,foxnews.com,20,5728,514,0,7,1,3,183,28,12,2239,221,0,3,0,0,19,1,4,810,73
https://thefederalist.com/2020/11/09/yes-there-was-election-fraud-the-question-is-how-much/#.X6qy2HyqvIF.twitter,thefederalist.com,6,5721,608,0,2,1,3,84,13,1,1002,113,0,3,1,0,4,0,1,396,46
https://hannity.com/media-room/fraud-exposed-footage-shows-texas-ballot-chaser-pressuring-people-to-switch-vote-to-democrats/?utm_source=socialflow,hannity.com,2,5720,693,0,0,1,1,1,8,1,19,57,0,0,0,0,0,0,1,4,18
https://www.nytimes.com/2020/11/10/us/politics/voting-fraud.html?smid=tw-share,nytimes.com,746,5420,814,487,2161,177,3,4,25,18,24,106,1,0,0,0,0,2,8,32,36
https://www.pscp.tv/w/cofxLjFQWEtkUm5HQVZZRWV8MVprS3plUExFWXl4dqvrLKIRTfhMHJhnAMkoE76E8dWNUdp74XqAR7Zq7iL8,pscp.tv,2,5312,385,0,9,2,1,285,44,1,3045,238,0,14,1,0,27,2,0,1164,71
https://www.breitbart.com/clips/2020/11/19/obama-no-actual-evidence-anything-illegal-fraudulent-took-place-in-election-trump-has-shown-flimsy-relationship-to-the-truth/,breitbart.com,7,5178,650,0,8,4,1,324,50,4,3007,393,0,5,0,0,13,0,2,1170,119
https://www.washingtontimes.com/news/2020/nov/9/trump-campaign-rnc-detail-voter-fraud-pennsylvania/,washingtontimes.com,34,4991,218,0,2,3,7,88,10,20,776,37,0,8,0,0,8,0,6,273,11
https://www.google.com/url?q=https://www.sun-sentinel.com/news/politics/elections/fl-ne-voter-id-fraud-broward-florida-20201030-rfwqzhgfq5fypl4632dspgla7i-story.html&source=gmail-imap&ust=1604692661000000&usg=AOvVaw2wfz8gTBrHGYhdCJf7oVVo,google.com,6,4985,376,0,10,8,2,644,50,1,3259,238,0,16,1,0,7,0,0,1099,62
https://thedcpatriot.com/report-were-casino-addresses-listed-as-residences-of-voters-in-nevada-of-course-they-were/,thedcpatriot.com,4,4951,233,0,1,2,1,116,30,2,3423,168,1,33,3,0,25,4,3,1714,77
https://thefederalist.com/2020/11/08/america-wont-trust-elections-until-the-voter-fraud-is-investigated/#.X6hVdEP5Aag.twitter,thefederalist.com,20,4909,474,0,2,4,2,191,25,15,1661,180,0,7,1,0,3,0,3,498,38
https://thedcpatriot.com/wow-two-charged-with-voter-fraud-allegedly-submitted-8000-fraudulent-registration-applications/,thedcpatriot.com,150,4887,395,0,1,2,23,90,24,118,3619,319,0,3,0,0,8,0,25,1303,99
https://dailycaller.com/2020/11/06/nevada-gop-claims-thousands-instances-voter-fraud-criminal-referral-barr/,dailycaller.com,23,4663,435,0,9,9,1,248,25,17,800,102,0,7,0,1,28,2,7,261,27
https://thedcpatriot.com/democrat-vernon-jones-exposes-his-own-party-in-georgia-for-election-fraud/,thedcpatriot.com,183,4561,396,0,4,0,21,80,19,155,1870,176,1,3,0,0,3,0,24,582,47
