user_id,user_community,user_active_status,closeness_centrality_detractor_cluster,closeness_centrality_promoter_cluster,retweet_count_by_community_0,quote_count_by_community_0,retweet_count_by_community_1,quote_count_by_community_1,retweet_count_by_community_2,quote_count_by_community_2,retweet_count_by_community_3,quote_count_by_community_3,retweet_count_by_community_4,quote_count_by_community_4,retweet_count_by_suspended_users,quote_count_by_suspended_users
6590,0,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
10597,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
16943,,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
29803,,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
68093,0,suspended,0.076194261211774,,16,0,0,0,0,0,0,0,0,0,1,0
117303,2,suspended,,,0,0,0,0,1,0,0,0,0,0,0,0
641333,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
754607,2,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
777463,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
789669,,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
817615,2,suspended,,,0,0,0,0,15,3,0,0,0,0,5,3
832101,1,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
872841,0,suspended,,,2,0,0,0,0,1,0,0,0,0,0,0
945481,2,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
1124241,2,deleted,,,0,0,0,0,3,0,0,0,0,0,1,0
1366631,2,suspended,,0.21117103352521632,0,0,0,1,23,3,0,0,0,0,8,0
1442411,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
1457101,2,suspended,,,0,0,0,0,5,0,0,0,0,0,5,0
1567381,0,deleted,,,1,0,0,0,0,0,0,0,0,0,0,0
1656021,2,active,,,0,0,0,0,2,0,0,0,0,0,1,0
1703421,1,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
1776531,1,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
1986421,0,suspended,,,3,0,0,0,0,0,0,0,0,0,0,0
2061431,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
2069591,2,deleted,,,0,0,0,0,6,2,0,0,0,0,2,0
2310441,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
2798251,,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
3114191,2,suspended,,0.21694017444981187,0,0,0,0,19,1,0,0,0,0,7,0
3370981,0,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
3394061,0,deleted,,,0,0,0,0,0,0,0,0,0,0,0,0
3528791,0,suspended,,,3,0,0,0,0,0,0,0,0,0,1,0
3669621,2,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
3827121,1,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
3922491,,active,,,0,0,0,0,0,0,0,0,0,0,0,0
4405521,,active,,,0,0,0,0,0,0,0,0,0,0,0,0
4518381,2,deleted,,,0,0,0,0,1,0,0,0,0,0,0,0
4901881,2,suspended,,,0,0,0,0,0,0,0,0,0,0,0,0
