video_id,video_title,video_description,channel_id,channel_title,published_at,tweet_count,retweet_count_metadata,quote_count_metadata,tweet_count_by_community_0,retweet_count_by_community_0,quote_count_by_community_0,tweet_count_by_community_1,retweet_count_by_community_1,quote_count_by_community_1,tweet_count_by_community_2,retweet_count_by_community_2,quote_count_by_community_2,tweet_count_by_community_3,retweet_count_by_community_3,quote_count_by_community_3,tweet_count_by_community_4,retweet_count_by_community_4,quote_count_by_community_4,tweet_count_by_suspended_users,retweet_count_by_suspended_users,quote_count_by_suspended_users
psGpIuNh_dU,Articia Bomer Witnessed Dems Counting Spoiled Ballots for Biden and Tampering with Machines at Cobo,"Articia Bomer Witnessed Dems Counting Spoiled Ballots for Biden and Tampering with Machines at Cobo

Michigan Voter Fraud Witness",UCekdKDk6d8opUrUEXtXD4XQ,Precinct 13,2020-11-23T10:32:13Z,88,11909,1301,0,5,4,12,544,147,62,8583,1118,0,39,5,0,50,5,34,3527,401
96-BQaIVOpc,LIVE UPDATES: Democrats Try to Steal Election!? | Good Morning #MugClub,"Steven reviews the latest updates in the 2020 election results and gets an exclusive scoop from an insider at a Michigan ballot location of possible voter fraud.

Join #MugClub to watch this show every day! http://louderwithcrowder.com/mugclub
Use promo codes ""student"" ""veteran"" ""military"" to get daily access for $69/year!
Check the schedule here: https://www.louderwithcrowder.com/schedule/

Subscribe to my podcast on iTunes: https://podcasts.apple.com/us/podcast/louder-with-crowder/id929121341

Shop the official #LWC store: https://louderwithcrowdershop.com/

FOLLOW ME:
Website: https://louderwithcrowder.com/
Twitter: https://twitter.com/scrowder
Facebook: https://www.facebook.com/stevencrowder 
Instagram: http://www.instagram.com/louderwithcrowder

Music by @Pogo",UCIveFvW-ARp_B_RckhweNJw,StevenCrowder,2020-11-04T22:49:00Z,333,4739,496,0,5,4,66,475,42,151,612,71,0,9,1,0,5,0,31,167,23
VgMPDnWunqs,"AG Barr releases memo on election fraud, DOJ official resigns","The head of the Justice Department’s elections crime branch stepped down following Attorney General William Barr’s decision to authorize investigations of alleged voting irregularities. One America’s Chanel Rion has more.


Visit us at:

Tired of censorship from other social media platforms? Join us on Free Talk
Free Talk is OANs new social platform.
Users can post, chat and connect with other members.
It allows Free Speech at home, on the go and anywhere in the world, No SHADOWBANNING!
https://freetalk.app

Website: https://www.oann.com
Facebook: 
https://www.facebook.com/OneAmericaNewsNetwork
Twitter: https://twitter.com/OANN
Instagram:
https://www.instagram.com/one_america_news_

KlowdTV:
Watch OAN Live on KlowdTV subscription prices start at $4.99 /mo
https://klowdtv.com",UCNbIDJNNgaRrXOD7VllIMRQ,One America News Network,2020-11-11T23:58:41Z,150,1605,100,1,0,1,23,51,4,96,539,28,0,2,0,0,3,0,27,235,8
ANeq2VKPOak,YOUNG PHARAOH INTERVIEWS JAMES OKEEFE- 2020 VOTER FRAUD & PROJECT VERITAS,"YOUNG PHARAOH INTERVIEWS JAMES OKEEFE IN REGARDS TO VOTER FRAUD & PROJECT VERITAS!...........YOUNG PHARAOH'S UPCOMING EVENTS, LECTURES, OTHER YOUTUBE CHANNELS,  MIXTAPES/MUSIC, EMAIL LIST, & DONATIONS ALL HERE AT LINK:: http://myurls.co/youngpharaoh

DONATION LINKS:
PAYPAL: ATENNATION@GMAIL.COM ( PAYPAL.ME/ATENNATION )
CASHAPP: $ATENNATION

MAILING ADDRESS: 
Young Pharaoh
276 5th Avenue
Suite 704 - 3128
New York NY 10001

YP INSTAGRAM: https://www.instagram.com/pharaoh_aten/

TBWIG INSTAGRAM: https://www.instagram.com/tbwig_stores/

TWITTER: https://twitter.com/PHARAOH_ATEN_?lan...

FACEBOOK: https://www.facebook.com/PharaohAten/

SNAPCHAT: https://www.snapchat.com/add/pharaoh_...
#YOUNGPHARAOH #JAMESOKEEFE #VOTERFRAUD",UCtKtmiQ2GlWlqPDzXwrR4NA,YOUNG PHARAOH,2020-11-17T20:00:08Z,43,982,45,0,1,1,9,62,6,20,271,16,1,0,0,0,1,0,8,102,6
dB0h_50OfzA,"Trump confidant: the president has all the proof needed to show massive fraud, vote switching","Steve Mosher of the Population Research Institute is urging Americans to not only pray for the president but to trust that the truth about election fraud will soon come out and that Donald Trump will be re-elected. Read more: https://www.lifesitenews.com/blogs/trump-confidant-speaks-to-lifesite-the-president-has-all-the-proof-needed-to-show-massive-fraud-vote-switching

Sign-up for our email newsletter so you’ll never miss a beat: https://www.lifesitenews.com/ajax/subscribe?utm_source=JHWmosheryt

If you enjoyed this video, please support our work: https://give.lifesitenews.com/give?utm_source=JHWmosheryt",UCYImiD9L0dMycenfBy2al0Q,LifeSiteNews,2020-11-13T22:14:18Z,27,937,72,0,0,0,2,20,8,21,766,76,0,6,0,0,7,0,4,391,21
VDf1j4IQz28,Bobby Piton testifies at AZ Election Fraud Hearing,"Bobby Piton testifies at AZ Election Fraud Hearing
Online Chat with Evan Sayet.  Wednesday, December of 16, 6:30PM
Three Headed Eagle Alliance requests that you join us for our monthly online Pints & Politics gathering. Our first guest will be renowned author and political comedian, Evan Sayet, to talk to us about the state of our country. This is one Pints & Politics you won't want to miss.

Please join our meeting from your computer, tablet or smartphone.

https://global.gotomeeting.com/join/854310213",UCSKoabidZh5qoTF4Xg96K7A,Three Headed Eagle Alliance,2020-11-30T22:54:54Z,65,919,45,0,0,0,7,18,2,42,471,28,0,0,0,0,5,1,9,266,6
V5jQBYALy0g,11.8.20: LAWSUITS on the WAY! What is going on?,"Get The Best VPN For 50% Off Today!
Click Here -- https://www.virtualshield.com/andweknow
Make Yourself Anonymous Online!! 
-----------------------------------------------------------------------
😎 Get The Same Solar Power Bank I Have Here: ☀️🏕️
➡️http://www.backupsolarbank.com⬅️
Get 30% OFF Using Promo Code (know30) 
-------------------------------------------
https://www.andweknow.com/

Music Piece

Fire at Will
Song by Tilman Sillescu
https://artlist.io/song/31508/fire-at-will

*Our AWK Website: https://www.andweknow.com/
Uncensored VIDS: https://andweknow.tv/

Donations can be sent via the following:
*Subscribestar: https://www.subscribestar.com/and-we-know
*PayPal DONATIONS: https://www.paypal.me/andweknow410
*Mail your gift to: LT, 30520 Rancho California Rd, #126, Temecula, CA 92591

*AWK Shirts and gifts: https://teespring.com/stores/and-we-know-828

Connect with us in the following ways:
*Rumble: https://rumble.com/c/c-295791
*Twitter: https://twitter.com/andweknow
*Facebook: https://www.facebook.com/andweknow828/
*Parler - https://parler.com/profile/andweknow/posts
*Instagram: https://www.instagram.com/andweknow8_28/
Backup Channels:
*Bitchute: https://www.bitchute.com/channel/1uDxpDogKMs9/
*DropSpace: https://drop.space/@Andweknow",UCzkAzJ2vQgRyEDzHFiKOaQA,AWK NEWS,2020-11-08T14:34:16Z,3,808,133,0,0,0,1,35,6,2,230,55,0,2,2,0,1,0,0,109,16
KIlI46HdqKg,Smoking Gun: ES&S (Philly's Computer System) Transferring Vote Ratios between Precincts in PA.,"In this video you will see data from the NYT feed from PA on November fourth.
(second video is live simulation of the theory, https://youtu.be/i1N5bn4TJes )
(third video is a math lesson on discrete integer ratios and their collision, and why it's highly unlikely for sets of distinct precincts to transfer their ratios to each other on the same timestamp https://youtu.be/F1i6fdCG6gs)


In this data, particular vote ratios are transferred between random sets of seized precincts throughout the day (see image link below):
https://ibb.co/h1x3Xds
https://ibb.co/THZf3Hq

A total of nine exhibits are presented in this video, but there are in fact several hundred of these precincts seizures and ratio transfers on the day of  November 4th alone, and the same ratios continue to be transferred for several more days within the overall dataset spanning an entire week.

Original data sets:
https://gofile.io/d/qZcQl6



Update 3 (Sunday, Nov 22) I mapped all of the ratio transfers that occur within ONE TIMESTAMP of each other, no less than 115,343 votes were flipped to 89% Biden. Most of these ratios are chained for the entire week, transferring to a new set of precincts within a single timestamp (within one global update).

Took me all day to figure out how setup a logic board to only identify the most suspicious transfers. When the ""timestamp difference"" parameter is increased, the amount of cases go up linearly.

For this experiment I kept the timestamp difference at 1, so no false positive would emerge.

All documents included in the go.file link. You can match the ""Mother Number"" entries from the condensed googlesheet version to the ""Mother Sheet"" file.

https://docs.google.com/spreadsheets/d/1Feu70w7RDoMR1w9rSzq-Yn7hfmQEmv3WfzdnisGNvsk/edit?usp=sharing

https://gofile.io/d/X262uw",UCIxc8YMkny2KBaD5TQsSbpg,Edward Solomon,2020-11-20T22:54:00Z,13,781,50,0,2,1,1,18,4,12,648,44,0,2,1,0,3,0,1,237,12
RCfU2KizzdM,LIVE: Arizona State Senate Judiciary Holds Hearing on Election Fraud 12/14/20,"LIVE: Arizona State Senate Holds Hearing on Election Fraud 12/14/20

Join this channel to get access to perks:
https://www.youtube.com/channel/UCHqC-yWZ1kri4YzwRSt6RGQ/join

🔴  Subscribe to RSBN for more LIVE streams and Breaking NEWS: http://bit.ly/2gDGbkh

🔴  Donate to RSBN and help keep us on the air: http://rsbn.tv/donate

🔴  Follow us on Twitter for breaking news updates: http://twitter.com/RSBNetwork

🔴  Like us on Facebook for more live streams and updates: http://facebook.com/rightsidebroadcasting",UCHqC-yWZ1kri4YzwRSt6RGQ,Right Side Broadcasting Network,2020-12-14T22:54:38Z,148,756,36,1,0,0,26,23,2,102,293,20,4,2,0,2,3,0,32,149,5
fveONZpDbiw,Vernon Jones says Georgia’s election fraud centers on mail-in ballots,"John Solomon Reports: John Interviews Georgia State Representative Vernon Jones
The Georgia State representative believes those in his own party are orchestrating voter fraud.

Podcast link: https://bit.ly/2Ithq8a",UC588htN7jqso3D80OnGGrAw,Just The News,2020-11-13T03:48:34Z,17,750,29,0,0,0,2,21,3,11,363,16,0,0,0,0,0,0,3,153,3
